Year,Month,Humidity,Precipitation,Solar_Radiation,Temperature
2004,APR,81.52,6.09,19.24,17.05
2004,AUG,68.21,0.91,17.35,15.8
2004,DEC,73.72,2.32,21.13,16.87
2004,FEB,68.87,1.78,21.46,17.82
2004,JAN,74.1,1.94,20.66,17.3
2004,JUL,70.12,0.06,18.36,15.11
2004,JUN,76.06,0.54,16.8,14.74
2004,MAR,66.12,2.67,22.52,18.3
2004,MAY,79.6,1.91,19.62,16.34
2004,NOV,78.19,6.44,19.26,16.56
2004,OCT,72.88,3.32,19.93,16.9
2004,SEP,69.22,1.3,20.95,16.78
2005,APR,74.42,5.7,20.23,17.93
2005,AUG,75.5,0.17,15.76,15.4
2005,DEC,63.15,0.37,22.51,17.34
2005,FEB,56.6,0.67,24.71,18.52
2005,JAN,61.56,0.95,22.97,17.64
2005,JUL,75.95,0.77,14.43,14.91
2005,JUN,78.76,0.49,15.94,15.45
2005,MAR,66.37,1.61,22.91,18.57
2005,MAY,79.98,6.62,19.42,16.58
2005,NOV,75.65,2.96,20.68,17.11
2005,OCT,69.71,2.63,21.64,16.8
2005,SEP,71.97,0.83,18.68,16.24
2006,APR,81.43,7.92,19.94,16.89
2006,AUG,74.48,1.16,17.76,15.65
2006,DEC,81.32,7.92,18.28,16.3
2006,FEB,60.28,1.31,22.74,18.58
2006,JAN,65.45,0.97,22.18,17.49
2006,JUL,77.36,0.89,13.96,15.13
2006,JUN,75.39,0.03,18.23,15.71
2006,MAR,70.38,4.08,22.35,18.11
2006,MAY,82.07,4.68,19.4,16.23
2006,NOV,83.97,12.34,18.13,16.27
2006,OCT,71.8,5.12,20.9,17.16
2006,SEP,70.17,1.65,19.67,16.13
2007,APR,77.0,6.4,20.32,17.52
2007,AUG,81.02,2.06,15.47,15.08
2007,DEC,70.98,1.62,20.67,16.21
2007,FEB,65.51,1.15,23.29,17.77
2007,JAN,72.98,2.58,21.7,16.65
2007,JUL,81.16,1.77,14.11,14.66
2007,JUN,81.18,1.23,16.82,15.41
2007,MAR,67.21,1.71,22.98,18.0
2007,MAY,80.82,4.34,19.69,16.44
2007,NOV,78.72,3.97,20.77,16.31
2007,OCT,76.77,5.33,20.99,16.31
2007,SEP,74.53,0.92,19.67,15.99
2008,APR,78.81,6.25,21.01,16.55
2008,AUG,74.93,0.57,16.99,15.56
2008,DEC,66.9,0.85,21.8,17.05
2008,FEB,59.33,0.96,23.55,17.75
2008,JAN,68.34,2.3,21.93,16.66
2008,JUL,77.76,0.91,14.1,14.98
2008,JUN,76.04,0.45,16.58,15.42
2008,MAR,69.42,4.33,21.79,18.07
2008,MAY,77.57,0.78,19.79,16.21
2008,NOV,77.64,4.09,20.79,16.6
2008,OCT,76.34,4.87,19.76,16.8
2008,SEP,69.19,0.83,21.19,17.03
2009,APR,76.41,4.8,21.05,17.57
2009,AUG,69.7,0.07,16.35,16.27
2009,DEC,79.63,3.34,19.35,16.62
2009,FEB,64.63,0.44,23.25,17.53
2009,JAN,64.46,2.4,22.55,17.34
2009,JUL,68.71,0.21,17.71,15.53
2009,JUN,72.07,0.68,19.54,16.61
2009,MAR,61.56,1.71,24.24,18.68
2009,MAY,78.75,3.27,19.22,16.77
2009,NOV,75.06,4.57,20.61,16.89
2009,OCT,74.8,5.69,19.77,16.79
2009,SEP,65.01,0.37,21.56,17.44
2010,APR,83.19,8.03,20.43,17.14
2010,AUG,77.97,0.33,15.09,15.06
2010,DEC,72.08,1.17,21.66,16.5
2010,FEB,74.26,4.44,20.96,17.48
2010,JAN,72.34,2.07,21.28,16.54
2010,JUL,78.45,0.46,14.97,14.8
2010,JUN,81.53,1.16,16.2,15.5
2010,MAR,80.56,6.33,20.38,17.3
2010,MAY,83.64,6.83,19.08,16.27
