Year,Area_Ha,Production_Tonnes,Yield_Kg_Ha,Production_Value_1000USD,Value_Unit,Temperature,Precipitation,Humidity,Solar_Radiation
1990,153100.0,103900.0,678.6,425834,1000 USD,17.82478070175438,44.49905263157894,11.482412280701753,20.186114035087716
1991,155400.0,86400.0,556.0,354110,1000 USD,18.32064035087719,36.42473684210526,10.948438596491227,20.751605263157895
1992,153800.0,85300.0,554.6,349602,1000 USD,18.271350877192983,35.83652631578947,10.859394736842106,20.537921052631578
1993,158200.0,75100.0,474.7,307797,1000 USD,17.989491228070175,38.08652631578947,10.878315789473683,20.632008771929822
1994,158700.0,79900.0,503.5,327470,1000 USD,18.2794649122807,44.73105263157895,11.013043859649121,21.08035087719298
1995,160500.0,95400.0,594.4,390996,1000 USD,17.97883333333333,41.65031578947368,11.286921052631577,20.509228070175435
1996,177400.0,97976.0,552.3,401554,1000 USD,17.901991228070173,39.834315789473685,11.149622807017543,20.241131578947364
1997,176907.0,68642.0,388.0,281329,1000 USD,18.28985087719298,49.45199999999999,11.040815789473683,20.47869298245614
1998,178500.0,53715.0,300.9,220151,1000 USD,17.918666666666667,43.05926315789473,11.915833333333332,20.07435087719298
1999,170000.0,68100.0,400.6,279108,1000 USD,18.630807017543855,28.573999999999998,10.454412280701753,20.84573684210526
2000,170000.0,100700.0,592.4,412718,1000 USD,18.912938596491227,22.299894736842102,10.126640350877192,21.31501754385965
2001,170000.0,51700.0,304.1,211892,1000 USD,18.34621929824561,40.33515789473684,11.092228070175437,20.18807894736842
2002,170000.0,51900.0,305.3,212712,1000 USD,18.59985087719298,37.50852631578947,11.071921052631579,20.52221052631579
2003,170000.0,55443.0,326.1,227233,1000 USD,18.500122807017544,36.68315789473684,11.034368421052632,20.91178947368421
2004,170000.0,48431.0,284.9,198494,1000 USD,18.87163157894737,30.712210526315786,10.964570175438595,20.596324561403506
2005,170000.0,45200.0,265.9,185252,1000 USD,19.136745614035085,24.982631578947366,10.639298245614034,20.866517543859647
2006,170000.0,48300.0,284.1,197957,1000 USD,18.867798245614033,39.13810526315789,11.170201754385964,20.310999999999996
2007,163000.0,53368.0,327.4,218729,1000 USD,18.45788596491228,33.95736842105263,11.293894736842105,20.421622807017542
2008,155000.0,42000.0,271.0,172137,1000 USD,18.691131578947367,29.273999999999997,10.868192982456138,20.78898245614035
2009,160000.0,54000.0,337.5,221319,1000 USD,19.20300877192982,28.402736842105263,10.803929824561402,21.242728070175435
2010,160000.0,42000.0,262.5,172137,1000 USD,18.418657894736842,40.36831578947368,11.609842105263157,20.0309649122807
2011,115600.0,36300.0,314.0,148775,1000 USD,18.678956140350877,39.36210526315789,11.182219298245613,20.65538596491228
2012,109795.0,49000.0,446.3,200826,1000 USD,18.360570175438593,40.10905263157895,11.15204385964912,20.832570175438594
2013,109800.0,39800.0,362.5,163120,1000 USD,18.48483333333333,36.14326315789474,11.421368421052632,20.36628947368421
2014,110000.0,49500.0,450.0,202876,1000 USD,18.922210526315787,29.260105263157893,11.294719298245612,20.643017543859646
2015,113500.0,42000.0,370.0,172137,1000 USD,18.92255263157895,46.20926315789473,11.26401754385965,21.146719298245614
2016,114000.0,46100.0,404.4,188941,1000 USD,18.63507894736842,36.444631578947366,11.581517543859647,20.46785087719298
2017,114700.0,38620.0,336.7,158284,1000 USD,18.826921052631576,41.838736842105256,11.308921052631577,21.321403508771926
2018,115570.0,41375.0,358.0,169575,1000 USD,17.846508771929823,59.24894736842105,11.777307017543857,20.007763157894733
2019,119600.0,44500.0,372.1,182383,1000 USD,19.041315789473682,49.653999999999996,11.735859649122807,20.855947368421052
2020,119700.0,36900.0,308.3,151234,1000 USD,18.016184210526315,59.63778947368421,12.309561403508772,20.183728070175437
2021,108200.0,34500.0,318.9,141398,1000 USD,18.40529824561403,40.432315789473684,11.52498245614035,20.185719298245612
2022,109400.0,51900.0,474.4,212712,1000 USD,18.267842105263156,45.425368421052625,11.282877192982454,20.447192982456137
2023,111900.0,48700.0,435.2,199597,1000 USD,18.5729649122807,60.58705263157894,11.871666666666664,20.559614035087716
2024,113600.0,49500.0,435.7,202876,1000 USD,18.46252631578947,66.52473684210526,12.583184210526314,20.159131578947367
