Year,Month,Solar_Radiation,Root_Zone_Moisture,Surface_Moisture,Precipitation,Humidity,Temperature,Skin_Temperature,Wind_Speed,Region,Production_Weight,Zone
1990,4,19.07,0.65,0.7,8.79,12.58,16.34,17.03,2.11,Nyeri,0.15,Central
1990,8,15.36,0.51,0.56,1.82,10.13,14.36,15.59,2.09,Nyeri,0.15,Central
1990,12,20.05,0.53,0.59,4.26,11.02,15.13,15.82,2.33,Nyeri,0.15,Central
1990,2,20.55,0.49,0.55,1.63,11.36,16.51,17.37,1.87,Nyeri,0.15,Central
1990,1,21.37,0.57,0.62,2.62,10.54,14.88,15.54,2.11,Nyeri,0.15,Central
1990,7,15.78,0.55,0.59,1.4,9.96,13.94,14.91,1.77,Nyeri,0.15,Central
1990,6,17.36,0.6,0.64,0.87,10.7,14.4,15.28,1.93,Nyeri,0.15,Central
1990,3,20.78,0.56,0.63,9.44,12.14,16.4,17.35,2.44,Nyeri,0.15,Central
1990,5,19.71,0.65,0.68,3.6,12.11,15.82,16.69,2.29,Nyeri,0.15,Central
1990,11,20.77,0.52,0.6,7.15,11.72,15.69,16.59,2.79,Nyeri,0.15,Central
1990,10,20.1,0.46,0.52,4.2,10.83,16.05,17.38,2.79,Nyeri,0.15,Central
1990,9,20.41,0.46,0.52,1.88,9.8,15.44,16.95,2.59,Nyeri,0.15,Central
1991,4,21.08,0.46,0.54,6.13,11.6,16.71,17.86,2.61,Nyeri,0.15,Central
1991,8,17.41,0.44,0.5,2.47,10.04,15.02,16.32,1.75,Nyeri,0.15,Central
1991,12,20.06,0.45,0.51,2.73,10.66,15.77,16.65,2.12,Nyeri,0.15,Central
1991,2,24.76,0.42,0.43,0.58,9.18,16.94,18.19,2.17,Nyeri,0.15,Central
1991,1,21.59,0.48,0.54,2.54,10.42,15.81,16.63,2.09,Nyeri,0.15,Central
1991,7,15.83,0.46,0.52,1.84,9.94,14.16,15.29,2.25,Nyeri,0.15,Central
1991,6,16.76,0.49,0.55,2.07,11.07,15.41,16.37,1.67,Nyeri,0.15,Central
1991,3,23.23,0.41,0.45,3.48,10.09,17.19,18.53,2.49,Nyeri,0.15,Central
1991,5,19.01,0.51,0.59,6.88,12.15,16.21,17.12,2.72,Nyeri,0.15,Central
1991,11,20.17,0.46,0.54,6.04,11.29,15.63,16.63,2.63,Nyeri,0.15,Central
1991,10,21.67,0.41,0.45,2.83,10.09,16.33,17.92,2.25,Nyeri,0.15,Central
1991,9,20.46,0.42,0.44,1.08,9.25,15.76,17.44,2.11,Nyeri,0.15,Central
1992,4,20.48,0.45,0.54,7.79,12.16,17.16,18.31,2.44,Nyeri,0.15,Central
1992,8,16.49,0.43,0.48,2.54,9.46,14.19,15.61,2.15,Nyeri,0.15,Central
1992,12,19.57,0.48,0.56,4.64,11.44,15.56,16.39,2.65,Nyeri,0.15,Central
1992,2,23.88,0.39,0.38,0.88,8.76,18.13,19.85,2.14,Nyeri,0.15,Central
1992,1,22.1,0.41,0.43,0.95,9.9,16.29,17.54,2.53,Nyeri,0.15,Central
1992,7,15.78,0.45,0.51,2.76,9.88,14.24,15.45,2.13,Nyeri,0.15,Central
1992,6,16.55,0.44,0.5,2.08,10.58,15.04,16.14,2.1,Nyeri,0.15,Central
1992,3,23.49,0.37,0.37,1.49,9.76,18.07,19.91,2.89,Nyeri,0.15,Central
1992,5,19.1,0.47,0.55,4.37,11.39,15.92,16.94,2.68,Nyeri,0.15,Central
1992,11,20.25,0.46,0.54,4.26,11.09,15.4,16.42,2.88,Nyeri,0.15,Central
1992,10,20.01,0.44,0.51,5.22,10.64,15.67,17.07,2.41,Nyeri,0.15,Central
1992,9,20.2,0.43,0.47,2.24,9.67,15.04,16.66,2.73,Nyeri,0.15,Central
1993,4,20.8,0.45,0.52,4.16,11.28,16.38,17.59,2.94,Nyeri,0.15,Central
1993,8,17.72,0.43,0.48,1.92,9.18,14.22,15.69,2.62,Nyeri,0.15,Central
1993,12,20.45,0.47,0.54,3.72,11.46,15.71,16.61,2.69,Nyeri,0.15,Central
1993,2,20.44,0.49,0.55,2.88,10.66,15.66,16.56,2.29,Nyeri,0.15,Central
1993,1,18.85,0.49,0.57,6.16,11.13,15.38,16.14,2.36,Nyeri,0.15,Central
1993,7,15.76,0.45,0.51,1.48,9.41,13.7,14.87,2.08,Nyeri,0.15,Central
1993,6,16.71,0.49,0.56,2.95,10.69,14.5,15.46,2.37,Nyeri,0.15,Central
1993,3,24.12,0.44,0.5,3.09,10.01,16.31,17.34,2.43,Nyeri,0.15,Central
1993,5,19.74,0.5,0.58,6.43,11.69,15.85,16.79,2.82,Nyeri,0.15,Central
1993,11,20.45,0.46,0.54,6.26,11.5,16.02,17.12,2.8,Nyeri,0.15,Central
1993,10,21.04,0.4,0.42,3.31,9.91,16.42,18.27,3.04,Nyeri,0.15,Central
1993,9,21.62,0.4,0.41,0.83,8.68,15.54,17.51,2.83,Nyeri,0.15,Central
1994,4,21.51,0.44,0.51,6.65,11.67,17.06,18.37,2.78,Nyeri,0.15,Central
1994,8,16.09,0.46,0.52,2.52,9.89,14.57,15.9,2.49,Nyeri,0.15,Central
1994,12,19.86,0.59,0.64,5.01,11.19,15.12,15.77,2.41,Nyeri,0.15,Central
1994,2,23.8,0.39,0.39,1.4,8.84,17.84,19.35,2.02,Nyeri,0.15,Central
1994,1,22.81,0.41,0.42,0.93,9.48,16.66,17.94,2.25,Nyeri,0.15,Central
1994,7,17.25,0.48,0.54,2.68,9.99,13.98,14.97,2.26,Nyeri,0.15,Central
1994,6,18.06,0.48,0.54,1.96,10.69,14.82,15.83,1.7,Nyeri,0.15,Central
1994,3,23.58,0.4,0.42,3.68,10.17,17.84,19.47,2.44,Nyeri,0.15,Central
1994,5,19.26,0.52,0.59,6.78,11.56,15.43,16.35,2.78,Nyeri,0.15,Central
1994,11,19.61,0.55,0.64,11.39,12.27,16.01,16.86,2.78,Nyeri,0.15,Central
1994,10,22.18,0.43,0.5,4.59,10.75,16.39,17.91,2.95,Nyeri,0.15,Central
1994,9,20.56,0.42,0.46,1.74,9.66,15.61,17.4,2.76,Nyeri,0.15,Central
1995,4,20.17,0.5,0.58,6.54,12.09,16.64,17.71,2.93,Nyeri,0.15,Central
1995,8,16.77,0.46,0.52,2.28,9.8,14.66,15.95,2.61,Nyeri,0.15,Central
1995,12,19.66,0.49,0.56,3.05,11.24,15.27,16.1,2.72,Nyeri,0.15,Central
1995,2,23.56,0.44,0.49,1.42,10.2,16.93,17.98,1.9,Nyeri,0.15,Central
1995,1,22.91,0.5,0.55,1.08,9.42,15.26,15.82,1.92,Nyeri,0.15,Central
1995,7,15.05,0.49,0.55,1.49,10.15,14.11,15.1,2.26,Nyeri,0.15,Central
1995,6,18.01,0.52,0.58,2.02,10.79,14.98,15.89,1.59,Nyeri,0.15,Central
1995,3,21.78,0.49,0.57,7.07,11.36,16.19,17.11,2.35,Nyeri,0.15,Central
1995,5,19.01,0.56,0.63,6.36,12.04,15.8,16.69,2.75,Nyeri,0.15,Central
1995,11,20.02,0.51,0.59,5.64,11.81,15.74,16.66,2.89,Nyeri,0.15,Central
1995,10,19.4,0.47,0.55,5.98,11.04,15.78,17.02,2.71,Nyeri,0.15,Central
1995,9,19.66,0.46,0.51,2.52,10.18,15.35,16.73,2.45,Nyeri,0.15,Central
1996,4,21.81,0.49,0.56,4.5,11.77,16.34,17.4,2.75,Nyeri,0.15,Central
1996,8,16.97,0.47,0.53,2.34,9.86,14.42,15.59,1.91,Nyeri,0.15,Central
1996,12,21.46,0.46,0.51,1.31,10.38,15.35,16.28,2.24,Nyeri,0.15,Central
1996,2,22.96,0.45,0.52,4.13,10.4,16.27,17.1,2.08,Nyeri,0.15,Central
1996,1,21.61,0.46,0.52,2.72,10.32,15.31,16.09,2.21,Nyeri,0.15,Central
1996,7,13.66,0.5,0.57,3.81,10.06,13.83,14.85,1.9,Nyeri,0.15,Central
