-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2004 through 12/31/2024 in UTC
Location: Latitude  -0.5047   Longitude 37.1458 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2115.76 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
IMERG_PRECTOT         MERRA-2 Total Precipitation (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2004,20.66,21.46,22.52,19.24,19.62,16.8,18.36,17.35,20.95,19.93,19.26,21.13,19.77
ALLSKY_SFC_SW_DWN,2005,22.97,24.71,22.91,20.23,19.42,15.94,14.43,15.76,18.68,21.64,20.68,22.51,19.96
ALLSKY_SFC_SW_DWN,2006,22.18,22.74,22.35,19.94,19.4,18.23,13.96,17.76,19.67,20.9,18.13,18.28,19.44
ALLSKY_SFC_SW_DWN,2007,21.7,23.29,22.98,20.32,19.69,16.82,14.11,15.47,19.67,20.99,20.77,20.67,19.68
ALLSKY_SFC_SW_DWN,2008,21.93,23.55,21.79,21.01,19.79,16.58,14.1,16.99,21.19,19.76,20.79,21.8,19.92
ALLSKY_SFC_SW_DWN,2009,22.55,23.25,24.24,21.05,19.22,19.54,17.71,16.35,21.56,19.77,20.61,19.35,20.41
ALLSKY_SFC_SW_DWN,2010,21.28,20.96,20.38,20.43,19.08,16.2,14.97,15.09,19.41,20.85,19.0,21.66,19.1
ALLSKY_SFC_SW_DWN,2011,23.39,24.67,23.47,21.19,19.32,16.32,17.35,15.21,18.31,19.44,18.72,20.88,19.83
ALLSKY_SFC_SW_DWN,2012,25.31,24.11,24.7,19.41,19.45,16.34,13.08,17.73,20.82,21.47,20.06,19.26,20.13
ALLSKY_SFC_SW_DWN,2013,22.35,24.43,21.57,20.11,20.19,14.7,15.09,15.22,20.12,22.26,18.94,18.49,19.43
ALLSKY_SFC_SW_DWN,2014,23.42,21.92,22.39,20.96,18.9,16.12,15.64,17.41,19.99,20.38,20.04,20.57,19.8
ALLSKY_SFC_SW_DWN,2015,24.73,24.81,23.72,20.52,19.48,17.0,16.55,17.89,22.0,20.76,18.47,20.01,20.47
ALLSKY_SFC_SW_DWN,2016,19.62,23.66,24.03,19.56,17.21,15.84,15.26,17.35,18.91,22.32,18.55,21.11,19.44
ALLSKY_SFC_SW_DWN,2017,24.51,22.87,24.36,21.28,19.36,18.41,15.62,16.99,19.27,21.67,19.88,22.35,20.54
ALLSKY_SFC_SW_DWN,2018,22.92,24.17,18.19,17.84,18.9,14.97,14.28,16.79,21.73,20.24,20.48,19.79,19.16
ALLSKY_SFC_SW_DWN,2019,22.81,23.92,25.36,22.57,19.58,14.48,16.85,17.62,20.33,20.28,19.52,18.87,20.16
ALLSKY_SFC_SW_DWN,2020,19.17,22.33,21.18,19.57,19.82,17.49,15.59,17.0,19.02,20.66,19.62,21.98,19.44
ALLSKY_SFC_SW_DWN,2021,22.0,21.83,23.77,21.21,18.42,16.17,13.28,17.62,17.9,20.49,21.1,18.14,19.31
ALLSKY_SFC_SW_DWN,2022,23.24,23.31,24.68,20.62,20.15,16.79,14.3,14.63,18.29,22.26,17.93,20.23,19.69
ALLSKY_SFC_SW_DWN,2023,23.46,25.08,22.27,19.28,19.52,16.24,15.11,17.79,19.99,20.98,17.2,20.24,19.74
ALLSKY_SFC_SW_DWN,2024,20.17,22.77,23.27,19.36,19.15,17.98,14.4,15.18,21.04,21.65,18.68,21.07,19.55
IMERG_PRECTOT,2004,1.94,1.78,2.67,6.09,1.91,0.54,0.06,0.91,1.3,3.32,6.44,2.32,2.44
IMERG_PRECTOT,2005,0.95,0.67,1.61,5.7,6.62,0.49,0.77,0.17,0.83,2.63,2.96,0.37,1.98
IMERG_PRECTOT,2006,0.97,1.31,4.08,7.92,4.68,0.03,0.89,1.16,1.65,5.12,12.34,7.92,4.01
IMERG_PRECTOT,2007,2.58,1.15,1.71,6.4,4.34,1.23,1.77,2.06,0.92,5.33,3.97,1.62,2.76
IMERG_PRECTOT,2008,2.3,0.96,4.33,6.25,0.78,0.45,0.91,0.57,0.83,4.87,4.09,0.85,2.27
IMERG_PRECTOT,2009,2.4,0.44,1.71,4.8,3.27,0.68,0.21,0.07,0.37,5.69,4.57,3.34,2.3
IMERG_PRECTOT,2010,2.07,4.44,6.33,8.03,6.83,1.16,0.46,0.33,0.15,2.9,4.64,1.17,3.21
IMERG_PRECTOT,2011,0.7,1.27,2.85,5.64,4.08,1.27,1.53,1.24,2.51,6.02,7.53,2.31,3.08
IMERG_PRECTOT,2012,0.02,0.91,0.53,10.32,7.54,1.23,0.98,1.93,0.11,5.43,5.61,4.78,3.28
IMERG_PRECTOT,2013,1.59,0.11,4.65,12.65,1.88,0.89,0.14,0.78,0.14,0.6,5.28,2.29,2.58
IMERG_PRECTOT,2014,0.2,2.56,5.11,4.1,1.94,0.26,0.62,2.15,0.56,3.69,5.63,2.4,2.44
IMERG_PRECTOT,2015,0.36,1.23,1.58,10.22,5.18,1.36,0.51,0.02,0.15,4.12,8.83,4.32,3.16
IMERG_PRECTOT,2016,3.08,1.35,2.19,8.31,3.52,0.53,0.11,0.04,0.04,0.3,4.96,0.52,2.08
IMERG_PRECTOT,2017,0.26,1.23,0.93,4.12,6.6,0.02,0.81,0.75,0.82,3.92,8.02,0.36,2.32
IMERG_PRECTOT,2018,0.43,0.49,7.97,15.4,10.97,2.68,0.21,0.41,0.37,0.56,3.27,3.18,3.83
IMERG_PRECTOT,2019,1.18,0.36,1.15,4.59,5.14,2.76,0.36,0.11,1.13,13.86,8.31,8.32,3.94
IMERG_PRECTOT,2020,3.72,2.29,5.9,13.24,5.65,1.53,0.35,1.03,0.55,3.77,6.95,2.02,3.92
IMERG_PRECTOT,2021,0.79,2.03,2.12,5.76,5.84,0.03,0.06,0.36,0.58,1.39,4.33,4.52,2.32
IMERG_PRECTOT,2022,0.9,0.36,1.63,5.05,1.04,0.14,0.04,0.11,1.17,0.64,7.07,1.79,1.66
IMERG_PRECTOT,2023,0.23,0.0,3.72,10.38,1.75,1.45,0.01,0.07,1.46,3.6,13.75,1.99,3.2
IMERG_PRECTOT,2024,3.11,2.12,1.82,21.73,6.63,0.32,0.78,0.35,0.07,0.93,7.71,2.11,3.97
RH2M,2004,74.1,68.87,66.12,81.52,79.6,76.06,70.12,68.21,69.22,72.88,78.19,73.72,73.21
RH2M,2005,61.56,56.6,66.37,74.42,79.98,78.76,75.95,75.5,71.97,69.71,75.65,63.15,70.87
RH2M,2006,65.45,60.28,70.38,81.43,82.07,75.39,77.36,74.48,70.17,71.8,83.97,81.32,74.59
RH2M,2007,72.98,65.51,67.21,77.0,80.82,81.18,81.16,81.02,74.53,76.77,78.72,70.98,75.72
RH2M,2008,68.34,59.33,69.42,78.81,77.57,76.04,77.76,74.93,69.19,76.34,77.64,66.9,72.73
RH2M,2009,64.46,64.63,61.56,76.41,78.75,72.07,68.71,69.7,65.01,74.8,75.06,79.63,70.94
RH2M,2010,72.34,74.26,80.56,83.19,83.64,81.53,78.45,77.97,75.11,77.0,81.94,72.08,78.18
RH2M,2011,60.64,56.27,65.95,75.36,78.51,80.44,75.77,79.81,76.76,80.33,83.94,79.02,74.5
RH2M,2012,61.79,60.58,57.58,80.7,85.07,84.07,83.51,80.14,74.88,77.49,81.5,82.92,75.89
RH2M,2013,73.88,61.5,73.11,85.59,81.43,82.53,79.37,79.6,74.47,70.18,80.35,80.56,76.97
RH2M,2014,63.59,69.4,73.25,78.67,79.1,78.74,76.77,77.48,72.52,74.44,81.62,75.91,75.14
RH2M,2015,54.26,60.31,63.3,82.07,84.91,83.44,81.16,76.3,68.01,77.85,85.91,84.0,75.2
RH2M,2016,81.23,70.99,74.21,82.79,83.88,82.77,80.95,77.83,73.4,70.32,82.5,79.04,78.34
RH2M,2017,65.0,70.21,64.19,77.19,82.15,79.32,79.97,78.25,77.11,77.95,84.79,77.16,76.12
RH2M,2018,66.07,67.78,84.09,87.44,88.54,88.99,87.47,84.84,81.11,82.63,84.86,84.65,82.46
RH2M,2019,77.03,72.28,63.65,72.31,78.46,81.56,77.37,74.51,72.64,82.74,85.2,86.17,77.02
RH2M,2020,83.81,81.46,82.21,86.69,86.2,86.21,85.09,83.49,81.31,80.36,85.46,80.9,83.6
RH2M,2021,78.18,74.79,73.99,83.03,84.93,81.91,82.65,77.03,74.01,73.67,76.8,84.66,78.84
RH2M,2022,71.95,68.72,67.75,76.84,79.07,76.57,78.46,79.34,81.3,74.65,85.43,82.51,76.92
RH2M,2023,74.14,64.65,75.35,86.31,84.93,84.93,82.47,80.05,76.56,77.86,88.06,85.65,80.16
RH2M,2024,83.44,82.29,81.92,87.51,87.5,84.71,86.31,83.75,80.74,79.96,86.13,83.4,83.97
T2M,2004,17.3,17.82,18.3,17.05,16.34,14.74,15.11,15.8,16.78,16.9,16.56,16.87,16.63
T2M,2005,17.64,18.52,18.57,17.93,16.58,15.45,14.91,15.4,16.24,16.8,17.11,17.34,16.86
T2M,2006,17.49,18.58,18.11,16.89,16.23,15.71,15.13,15.65,16.13,17.16,16.27,16.3,16.63
T2M,2007,16.65,17.77,18.0,17.52,16.44,15.41,14.66,15.08,15.99,16.31,16.31,16.21,16.35
