-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2025 in LST
Location: Latitude  -1.0528   Longitude 36.8696 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1795.85 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
GWETROOT              MERRA-2 Root Zone Soil Wetness (1) 
GWETTOP               MERRA-2 Surface Soil Wetness (1) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
TS                    MERRA-2 Earth Skin Temperature (C) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1990,22.64,21.16,21.42,19.9,19.66,18.37,18.37,16.61,22.45,21.23,21.49,21.9,20.42
ALLSKY_SFC_SW_DWN,1991,24.05,26.61,24.31,21.94,18.31,17.95,17.52,20.1,23.22,21.99,21.15,20.84,21.46
ALLSKY_SFC_SW_DWN,1992,24.85,25.04,24.92,21.87,19.77,16.64,17.38,17.86,20.64,21.59,20.92,21.43,21.07
ALLSKY_SFC_SW_DWN,1993,19.16,23.21,25.95,22.7,19.61,17.58,17.7,20.01,22.58,22.79,21.57,22.42,21.26
ALLSKY_SFC_SW_DWN,1994,24.53,24.05,24.79,22.41,19.5,19.69,18.21,18.7,22.7,22.81,21.07,22.26,21.71
ALLSKY_SFC_SW_DWN,1995,24.96,24.69,23.67,21.21,18.89,19.05,16.83,18.9,21.37,20.45,21.38,22.04,21.1
ALLSKY_SFC_SW_DWN,1996,24.49,23.8,23.27,21.91,18.37,16.4,16.52,19.84,21.63,23.19,19.28,23.72,21.03
ALLSKY_SFC_SW_DWN,1997,24.64,26.92,24.63,20.75,19.87,17.65,17.31,20.3,23.34,20.36,18.57,20.32,21.19
ALLSKY_SFC_SW_DWN,1998,19.26,22.39,24.56,21.25,20.47,17.78,14.95,16.32,21.06,23.09,20.6,23.57,20.43
ALLSKY_SFC_SW_DWN,1999,24.66,26.78,22.71,21.13,19.88,17.68,16.65,16.98,21.82,21.67,19.56,21.11,20.85
ALLSKY_SFC_SW_DWN,2000,26.19,27.71,25.58,22.37,19.49,17.0,17.71,19.12,21.9,22.23,19.85,22.23,21.77
ALLSKY_SFC_SW_DWN,2001,20.47,26.22,24.08,20.65,19.01,17.41,16.44,20.57,23.0,22.34,20.37,22.63,21.07
ALLSKY_SFC_SW_DWN,2002,22.67,25.06,24.06,20.14,18.86,17.89,19.17,16.14,23.43,22.01,21.54,20.32,20.91
ALLSKY_SFC_SW_DWN,2003,25.1,25.6,25.52,21.43,17.2,17.42,17.32,18.17,21.36,21.77,21.8,23.56,21.33
ALLSKY_SFC_SW_DWN,2004,22.1,22.24,23.31,19.56,19.78,17.29,20.39,19.51,22.06,20.48,20.58,22.15,20.79
ALLSKY_SFC_SW_DWN,2005,24.34,26.01,23.81,21.33,19.2,16.03,16.32,17.69,20.48,23.1,21.88,24.25,21.18
ALLSKY_SFC_SW_DWN,2006,24.34,24.64,23.01,20.14,19.64,18.82,15.11,20.15,20.44,22.78,18.25,19.4,20.54
ALLSKY_SFC_SW_DWN,2007,23.23,23.91,24.25,20.53,18.61,17.49,15.12,16.85,20.84,21.97,20.79,21.94,20.44
ALLSKY_SFC_SW_DWN,2008,23.21,24.22,22.39,21.62,19.64,17.1,15.84,18.04,22.21,21.23,22.56,23.85,20.98
ALLSKY_SFC_SW_DWN,2009,24.45,24.86,25.95,21.4,19.33,19.74,19.26,18.78,23.09,20.58,21.37,21.21,21.65
ALLSKY_SFC_SW_DWN,2010,23.34,22.57,22.35,21.18,18.85,16.34,17.18,18.16,21.31,21.82,20.32,22.64,20.49
ALLSKY_SFC_SW_DWN,2011,24.61,25.52,24.3,22.82,18.89,16.76,19.73,17.0,19.84,20.38,19.07,21.93,20.88
ALLSKY_SFC_SW_DWN,2012,25.56,25.81,25.84,19.64,19.24,15.68,16.38,19.56,22.89,23.3,21.63,20.62,21.34
ALLSKY_SFC_SW_DWN,2013,23.4,25.03,22.94,20.27,19.85,16.43,18.83,17.23,21.5,23.96,20.36,20.06,20.8
ALLSKY_SFC_SW_DWN,2014,25.37,21.49,23.87,22.88,18.43,16.32,16.75,18.39,21.06,21.67,20.66,21.53,20.7
ALLSKY_SFC_SW_DWN,2015,24.67,25.73,25.03,20.63,18.62,17.05,18.16,20.35,23.96,21.41,20.03,22.02,21.45
ALLSKY_SFC_SW_DWN,2016,21.14,24.34,25.29,19.5,17.72,16.35,18.21,19.15,22.22,24.3,19.67,23.08,20.91
ALLSKY_SFC_SW_DWN,2017,25.45,24.92,25.28,22.27,18.79,18.72,18.57,18.79,20.9,23.06,19.82,23.85,21.69
ALLSKY_SFC_SW_DWN,2018,22.51,26.28,19.44,18.84,18.37,15.56,15.45,18.38,23.1,21.43,22.25,20.94,20.17
ALLSKY_SFC_SW_DWN,2019,23.71,25.86,26.5,23.15,19.14,15.18,18.65,19.95,22.01,20.56,20.67,19.87,21.24
ALLSKY_SFC_SW_DWN,2020,20.91,23.7,22.25,20.09,19.9,17.53,16.4,19.23,20.9,21.22,20.5,23.2,20.48
ALLSKY_SFC_SW_DWN,2021,22.15,22.0,25.19,21.2,18.32,16.64,15.8,18.91,20.36,22.09,22.29,20.22,20.42
ALLSKY_SFC_SW_DWN,2022,23.06,22.76,25.73,21.08,19.78,16.83,15.99,17.17,21.41,24.2,19.27,21.2,20.7
