-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2025 in LST
Location: Latitude  -0.6822   Longitude 34.7805 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1690.69 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
GWETROOT              MERRA-2 Root Zone Soil Wetness (1) 
GWETTOP               MERRA-2 Surface Soil Wetness (1) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
TS                    MERRA-2 Earth Skin Temperature (C) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1990,22.44,22.29,20.78,21.82,21.32,22.01,21.31,21.18,23.58,22.39,22.35,21.61,21.91
ALLSKY_SFC_SW_DWN,1991,22.0,24.74,23.48,21.88,19.81,19.7,18.42,21.0,23.48,21.71,22.32,21.71,21.66
ALLSKY_SFC_SW_DWN,1992,22.89,22.68,24.02,22.05,21.39,18.43,19.21,20.94,22.68,21.77,22.52,20.48,21.59
ALLSKY_SFC_SW_DWN,1993,20.06,22.19,25.0,23.15,20.45,19.51,20.99,22.08,24.07,23.29,22.35,22.37,22.12
ALLSKY_SFC_SW_DWN,1994,23.29,23.37,24.24,22.58,21.26,19.93,19.91,21.38,24.62,23.05,20.32,23.11,22.25
ALLSKY_SFC_SW_DWN,1995,23.65,23.5,22.91,22.51,20.9,20.38,19.19,22.4,21.9,20.74,22.97,21.59,21.87
ALLSKY_SFC_SW_DWN,1996,23.47,23.4,22.56,23.04,20.61,17.48,19.4,20.93,22.51,22.88,20.26,22.49,21.58
ALLSKY_SFC_SW_DWN,1997,22.88,25.54,23.26,20.27,20.79,20.3,18.91,21.85,24.67,20.87,17.83,19.0,21.32
ALLSKY_SFC_SW_DWN,1998,19.41,22.87,24.41,22.24,22.38,18.97,18.83,21.2,23.19,22.44,22.48,23.18,21.79
ALLSKY_SFC_SW_DWN,1999,22.79,25.56,20.48,22.36,21.99,21.05,20.97,20.89,22.76,22.75,20.12,21.62,21.92
ALLSKY_SFC_SW_DWN,2000,24.31,25.43,24.52,22.09,21.12,20.54,20.15,21.53,22.44,21.78,20.22,21.4,22.12
ALLSKY_SFC_SW_DWN,2001,19.59,25.15,22.28,21.34,20.65,18.93,19.14,20.54,22.47,21.19,20.67,22.34,21.16
