-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2025 in LST
Location: Latitude  0.0112   Longitude 37.6836 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1910.81 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
GWETROOT              MERRA-2 Root Zone Soil Wetness (1) 
GWETTOP               MERRA-2 Surface Soil Wetness (1) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
TS                    MERRA-2 Earth Skin Temperature (C) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1990,22.73,21.91,22.27,20.43,22.43,21.54,20.44,20.89,23.36,21.75,22.25,20.71,21.72
ALLSKY_SFC_SW_DWN,1991,23.34,25.88,24.94,22.34,21.37,20.16,17.65,20.62,23.54,21.64,21.41,21.28,21.99
ALLSKY_SFC_SW_DWN,1992,23.63,25.25,25.02,22.52,22.04,19.35,19.2,20.99,22.47,22.09,21.33,20.71,22.04
ALLSKY_SFC_SW_DWN,1993,19.15,22.99,25.82,22.57,21.25,20.09,19.43,22.41,24.09,23.39,21.45,21.74,22.02
ALLSKY_SFC_SW_DWN,1994,24.84,24.72,25.2,22.92,22.02,20.98,20.49,20.74,24.1,22.46,20.16,21.01,22.46
ALLSKY_SFC_SW_DWN,1995,24.79,23.96,23.52,22.6,22.36,21.5,19.19,21.8,22.98,21.54,21.5,20.88,22.21
ALLSKY_SFC_SW_DWN,1996,22.99,24.27,23.42,24.2,21.92,17.21,18.35,22.0,23.86,22.81,19.1,22.77,21.9
ALLSKY_SFC_SW_DWN,1997,24.31,26.74,24.24,20.41,22.41,19.88,18.52,22.13,23.49,20.47,17.72,18.2,21.52
ALLSKY_SFC_SW_DWN,1998,18.15,23.05,23.85,21.96,21.99,19.34,18.72,20.26,24.89,24.31,20.66,22.72,21.65
ALLSKY_SFC_SW_DWN,1999,24.35,25.96,23.69,23.35,23.42,21.49,19.29,21.95,24.84,23.6,20.01,21.06,22.73
ALLSKY_SFC_SW_DWN,2000,25.25,27.64,25.7,24.28,22.96,21.0,21.31,21.79,25.05,23.58,19.34,21.67,23.28
ALLSKY_SFC_SW_DWN,2001,21.53,25.45,23.33,22.55,23.0,20.28,20.75,21.94,24.27,23.29,19.1,20.42,22.14
ALLSKY_SFC_SW_DWN,2002,22.2,25.98,24.15,21.13,21.64,20.9,21.99,21.77,24.81,22.61,21.65,19.8,22.36
