-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1990 through 12/31/2025 in LST
Location: Latitude  -0.1389   Longitude 36.1611 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 2019.92 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
GWETROOT              MERRA-2 Root Zone Soil Wetness (1) 
GWETTOP               MERRA-2 Surface Soil Wetness (1) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
QV2M                  MERRA-2 Specific Humidity at 2 Meters (g/kg) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
TS                    MERRA-2 Earth Skin Temperature (C) 
WS2M                  MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,1990,20.9,20.29,20.38,19.16,20.4,20.02,18.32,18.32,21.76,19.67,19.89,20.05,19.92
ALLSKY_SFC_SW_DWN,1991,21.66,24.03,22.5,20.43,18.9,17.94,16.72,19.17,21.89,20.27,19.46,20.13,20.23
ALLSKY_SFC_SW_DWN,1992,21.93,23.23,23.46,20.71,19.84,17.35,17.82,18.4,20.36,20.38,19.95,19.45,20.23
ALLSKY_SFC_SW_DWN,1993,17.55,21.29,24.7,21.41,19.9,18.23,17.76,20.2,21.56,22.13,19.75,20.11,20.38
ALLSKY_SFC_SW_DWN,1994,22.76,22.8,23.31,21.23,19.83,18.79,18.36,18.48,22.47,21.07,18.38,20.65,20.67
ALLSKY_SFC_SW_DWN,1995,23.49,22.51,21.84,20.46,19.5,18.91,16.3,19.36,19.98,19.25,19.88,19.45,20.06
ALLSKY_SFC_SW_DWN,1996,21.59,22.32,21.36,22.56,18.73,15.6,16.26,18.64,21.59,21.74,17.01,21.22,19.88
ALLSKY_SFC_SW_DWN,1997,22.11,25.95,22.7,18.35,21.04,17.89,16.27,19.62,22.76,18.88,15.93,17.99,19.92
ALLSKY_SFC_SW_DWN,1998,16.61,22.36,23.34,20.89,19.65,17.39,16.1,18.39,21.81,20.98,18.78,22.0,19.84
ALLSKY_SFC_SW_DWN,1999,23.09,25.15,21.53,21.56,21.51,19.61,17.59,18.1,21.76,21.57,17.23,19.74,20.67
ALLSKY_SFC_SW_DWN,2000,24.41,25.76,24.11,21.77,20.41,18.76,18.34,18.5,21.84,21.33,17.71,20.72,21.13
ALLSKY_SFC_SW_DWN,2001,18.29,24.57,22.29,19.78,19.9,17.55,16.92,18.86,21.12,20.51,17.78,20.33,19.8
ALLSKY_SFC_SW_DWN,2002,20.77,23.77,22.19,19.21,19.29,18.49,19.54,17.26,22.38,20.42,19.01,17.79,19.98
ALLSKY_SFC_SW_DWN,2003,23.57,24.71,23.65,20.69,18.1,18.06,17.31,16.15,22.06,19.86,19.07,21.61,20.37
ALLSKY_SFC_SW_DWN,2004,20.64,20.82,22.04,19.21,20.93,19.07,19.72,19.32,21.59,19.98,18.96,21.08,20.28
ALLSKY_SFC_SW_DWN,2005,22.95,25.27,23.57,20.85,19.15,17.77,16.86,18.78,19.52,22.08,19.98,22.93,20.79
ALLSKY_SFC_SW_DWN,2006,22.45,23.53,22.87,20.09,20.34,19.17,16.46,19.31,21.59,22.44,16.92,17.99,20.25
ALLSKY_SFC_SW_DWN,2007,22.27,23.02,24.02,20.18,20.52,16.1,15.49,17.64,20.26,21.02,19.45,20.81,20.05
ALLSKY_SFC_SW_DWN,2008,22.55,23.96,21.87,21.58,21.56,18.55,16.22,18.8,21.08,19.51,20.59,22.95,20.75
ALLSKY_SFC_SW_DWN,2009,22.72,24.02,24.91,21.38,19.76,21.2,19.99,20.01,21.97,19.05,20.32,19.38,21.2
ALLSKY_SFC_SW_DWN,2010,22.25,21.06,21.33,21.0,19.26,18.4,16.64,17.31,21.05,19.91,19.05,21.93,19.92
ALLSKY_SFC_SW_DWN,2011,23.55,25.03,23.19,22.63,20.51,17.5,18.92,16.98,19.81,20.03,17.36,20.71,20.49
ALLSKY_SFC_SW_DWN,2012,25.92,24.96,24.95,18.82,19.35,17.45,15.71,18.72,21.64,21.34,19.95,18.77,20.62
ALLSKY_SFC_SW_DWN,2013,22.35,24.9,22.26,19.36,21.32,17.29,18.64,17.58,20.68,22.95,18.44,18.39,20.32
ALLSKY_SFC_SW_DWN,2014,24.14,21.22,23.12,22.17,20.15,18.49,17.41,18.35,21.91,20.9,19.0,20.67,20.63
ALLSKY_SFC_SW_DWN,2015,24.66,24.86,24.75,20.16,19.46,17.74,19.58,21.41,22.4,20.21,17.39,19.87,21.03
ALLSKY_SFC_SW_DWN,2016,20.05,24.05,24.75,19.5,19.43,18.39,17.47,19.29,22.11,22.99,18.31,21.54,20.65
ALLSKY_SFC_SW_DWN,2017,24.28,23.31,25.08,21.92,19.63,20.42,17.61,19.17,20.16,20.86,19.31,22.33,21.16
ALLSKY_SFC_SW_DWN,2018,21.8,25.22,18.1,17.17,18.91,16.26,16.25,18.99,22.93,21.21,20.92,19.85,19.76
ALLSKY_SFC_SW_DWN,2019,22.92,24.78,25.25,22.72,20.79,15.56,18.58,19.18,21.53,20.03,18.75,18.04,20.66
ALLSKY_SFC_SW_DWN,2020,19.37,22.64,21.69,19.43,20.67,17.88,16.36,18.47,20.94,20.01,19.79,22.2,19.95
ALLSKY_SFC_SW_DWN,2021,21.6,21.51,23.82,21.58,19.67,19.63,15.6,19.04,19.73,20.13,20.6,18.69,20.12
ALLSKY_SFC_SW_DWN,2022,22.52,22.41,25.21,20.96,20.93,19.49,17.32,17.14,20.89,22.94,18.5,20.04,20.69
ALLSKY_SFC_SW_DWN,2023,23.7,25.63,22.09,19.49,21.14,18.33,18.94,20.6,21.8,21.16,17.02,20.48,20.84
ALLSKY_SFC_SW_DWN,2024,19.79,23.09,24.3,18.51,19.61,19.96,15.47,18.15,21.14,22.11,18.06,20.98,20.09
ALLSKY_SFC_SW_DWN,2025,22.28,25.93,21.49,20.81,20.78,18.96,17.01,16.95,21.37,19.21,21.32,-999.0,-999.0
GWETROOT,1990,0.51,0.47,0.52,0.58,0.55,0.52,0.52,0.52,0.51,0.49,0.51,0.49,0.52
GWETROOT,1991,0.46,0.44,0.44,0.44,0.47,0.49,0.51,0.52,0.53,0.5,0.49,0.47,0.48
GWETROOT,1992,0.44,0.43,0.42,0.46,0.48,0.48,0.51,0.54,0.53,0.52,0.49,0.48,0.48
GWETROOT,1993,0.49,0.47,0.44,0.44,0.48,0.5,0.5,0.5,0.47,0.46,0.46,0.46,0.47
GWETROOT,1994,0.43,0.43,0.43,0.46,0.53,0.53,0.55,0.55,0.51,0.48,0.54,0.51,0.5
GWETROOT,1995,0.46,0.46,0.48,0.46,0.5,0.5,0.52,0.5,0.51,0.51,0.5,0.47,0.49
GWETROOT,1996,0.45,0.45,0.44,0.46,0.45,0.51,0.53,0.53,0.53,0.49,0.48,0.47,0.48
GWETROOT,1997,0.44,0.42,0.42,0.56,0.56,0.5,0.54,0.54,0.48,0.49,0.54,0.56,0.5
GWETROOT,1998,0.59,0.6,0.55,0.54,0.61,0.6,0.61,0.6,0.55,0.55,0.53,0.48,0.57
GWETROOT,1999,0.45,0.43,0.48,0.48,0.47,0.44,0.45,0.47,0.46,0.45,0.46,0.47,0.46
GWETROOT,2000,0.43,0.42,0.42,0.44,0.43,0.43,0.45,0.48,0.48,0.46,0.46,0.45,0.45
GWETROOT,2001,0.47,0.44,0.45,0.5,0.49,0.5,0.51,0.54,0.51,0.5,0.54,0.48,0.49
GWETROOT,2002,0.47,0.44,0.46,0.47,0.56,0.49,0.48,0.49,0.46,0.47,0.49,0.49,0.48
GWETROOT,2003,0.48,0.44,0.43,0.5,0.6,0.56,0.53,0.55,0.53,0.49,0.5,0.48,0.51
GWETROOT,2004,0.46,0.44,0.43,0.48,0.51,0.48,0.47,0.48,0.47,0.47,0.48,0.46,0.47
GWETROOT,2005,0.43,0.42,0.43,0.45,0.49,0.48,0.47,0.5,0.5,0.47,0.46,0.43,0.46
GWETROOT,2006,0.42,0.41,0.44,0.49,0.48,0.46,0.46,0.48,0.48,0.46,0.54,0.54,0.47
GWETROOT,2007,0.51,0.49,0.46,0.5,0.51,0.52,0.53,0.57,0.57,0.52,0.49,0.46,0.51
GWETROOT,2008,0.44,0.43,0.44,0.48,0.46,0.47,0.48,0.49,0.48,0.51,0.53,0.47,0.47
GWETROOT,2009,0.44,0.43,0.42,0.45,0.48,0.45,0.44,0.44,0.44,0.45,0.46,0.46,0.45
