Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","1990","1990","ha","153100","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1990","1990","kg/ha","678.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","1990","1990","t","103900","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","1991","1991","ha","155400","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1991","1991","kg/ha","556","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","1991","1991","t","86400","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","1992","1992","ha","153800","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1992","1992","kg/ha","554.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","1992","1992","t","85300","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","1993","1993","ha","158200","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1993","1993","kg/ha","474.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","1993","1993","t","75100","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","1994","1994","ha","158700","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1994","1994","kg/ha","503.5","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","1994","1994","t","79900","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","1995","1995","ha","160500","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1995","1995","kg/ha","594.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","1995","1995","t","95400","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","1996","1996","ha","177400","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1996","1996","kg/ha","552.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","1996","1996","t","97976","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","1997","1997","ha","176907","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1997","1997","kg/ha","388","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","1997","1997","t","68642","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","1998","1998","ha","178500","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1998","1998","kg/ha","300.9","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","1998","1998","t","53715","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","1999","1999","ha","170000","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1999","1999","kg/ha","400.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","1999","1999","t","68100","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2000","2000","ha","170000","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2000","2000","kg/ha","592.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2000","2000","t","100700","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2001","2001","ha","170000","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2001","2001","kg/ha","304.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2001","2001","t","51700","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2002","2002","ha","170000","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2002","2002","kg/ha","305.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2002","2002","t","51900","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2003","2003","ha","170000","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2003","2003","kg/ha","326.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2003","2003","t","55443","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5312","Area harvested","01610","Coffee, green","2004","2004","ha","170000","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2004","2004","kg/ha","284.9","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5510","Production","01610","Coffee, green","2004","2004","t","48431","A","Official figure",""
